time,region,policy_name,policy_category,policy_tags,policy_summary,link,adcode
2025/2/15,江苏省,《江苏省加快经济社会发展全面绿色转型若干政策举措》,政策制度,绿色低碳转型,目标2035年之前实现绿色低碳循环发展经济体系基本建立，绿色生产生活方式广泛形成。从全面构建绿色低碳产业体系、加快构建清洁低碳能源体系、加速推进基础设施绿色升级等七个方面提出共21条具体举措，对加快江苏经济社会发展全面绿色转型作出部署。,https://www.jiangsu.gov.cn/art/2025/2/27/art_46143_11501330.html,320000
2025/2/18,江苏省,《江苏省推动氢能产业高质量发展行动方案（2025—2030年）》,政策制度,"能源领域,氢能",目标江苏省到2030年，清洁低碳、安全高效的氢能供给及应用体系初步形成。建设加氢站100座以上，推广燃料电池汽车超过10000辆等；共4方面重点任务17项具体措施，包括积极开展石化、钢铁、建材等领域工业用氢替代试点、探索绿电制绿氢耦合生产石化衍生品、推进绿色低碳石化园区建设等。,https://sst.suzhou.gov.cn/ndaservplat/Apps/psp/index.php?s=/Home/PolicySearch/policydetail/id/112950/query_value1/city/orderway/timenode/i/3,320000
2025/2/18,北京市,《北京市加快建设国际绿色经济标杆城市2025年工作要点》,政策制度,绿色金融,旨在扎实推动北京市国际绿色经济标杆城市建设；围绕绿色技术创新、绿色产业培育壮大、绿色合作共建共享等五个标杆共提出20余项任务措施，包括推动设立并加快建设国家绿色技术交易中心、支持国内外绿色金融标准认证及评级机构在京发展、加强京津冀区域绿色合作共建共享等。,https://www.gov.cn/lianbo/difang/202502/content_7004374.htm,110000
2025/2/18,湖南省,《湖南省促进绿色智能计算产业高质量发展若干政策措施》,政策制度,"产业领域,绿色智能计算产业",发展湖南省高端产品、倡导绿色低碳、培育经营主体、支持平台建设、培养产业人才、建设开源体系、优化产业生态、加强资金支持共十项举措。具体包括支持绿色智能计算产业相关企业、项目所在园区开发建设分布式光伏等新能源和用户侧储能，以降低其用电成本等。,https://www.hunan.gov.cn/hnszf/xxgk/wjk/szfbgt/202502/t20250220_33591466.html,430000
2025/2/21,天津市,《关于扩大天津市碳排放权交易市场覆盖范围的通知》,政策制度,碳排放权交易,扩大天津碳市场覆盖范围，包括：调整纳入标准，即将年碳排放1-2万吨的工业和航空（机场）企业也纳入天津碳市场管理；新增年碳排放1万吨以上的货运港口行业企业；新增年碳排放1万吨以上的水上及航空货物运输行业企业。对于年碳排放量超1万吨的企业，推动开展碳排放权交易履约等。,https://sthj.tj.gov.cn/ZWGK4828/ZCWJ6738/sthjjwj/202502/t20250221_6864366.html,120000
2025/2/25,陕西省,《陕西省建立碳足迹管理体系工作方案》,政策制度,碳足迹管理,旨在助力陕西省绿色低碳供应链和生产生活方式转型；目标至2027年聚焦电池、钢铁、水泥、新能源汽车和电子电器，初步建立全省重点产品碳足迹数据库等；至2030年全面形成省碳足迹管理体系等。重点任务包括开展重点产品先行先试、建立碳足迹核算评价标准体系等五项。,http://sthjj.baoji.gov.cn/col3672/col3698/202502/t20250226_1121746.html,610000
2025/2/26,新疆维吾尔族自治区,《关于全面推进美丽新疆建设的实施意见》,政策制度,美丽中国,目标到2027年美丽新疆建设成效显著，到2035年美丽新疆基本建成，分阶段到本世纪中叶美丽新疆全面建成。在加快推进发展方式绿色低碳转型、持续深入打好污染防治攻坚战等方面，提出七个方面共25条具体举措，包括积极稳妥推进碳达峰碳中和、加快构建清洁低碳安全高效能源体系、推进重点领域绿色低碳发展、持续深入打好蓝天保卫战等25条重点举措。,https://www.xinjiang.gov.cn/xinjiang/qtwj/202502/e45cd701d59843c5b9d6f35fa9eeecca.shtml,
2025/3/4,山东省,《关于加快建设绿色低碳高质量发展先行区的意见》,政策制度,绿色低碳转型,目标分阶段到2030年，山东省新质生产力发展走在全国前列，碳达峰目标顺利实现，发展方式全面绿色转型取得决定性成效。明确了新质生产力培育和全面绿色转型两大主攻方向，从科技创新引领、现代化产业体系建设、构建新型能源体系、推进碳达峰碳中和等方面展开部署。,http://www.shandong.gov.cn/art/2025/3/4/art_97564_666831.html,370000
2025/3/5,浙江省,《浙江省推动碳排放双控工作若干举措》,政策制度,碳排放管理,旨在为浙江进一步实现能耗双控向碳排放双控全面转型提供制度支撑。目标“十四五”期间碳排放双控先行先试取得明显进展，碳排放强度下降，“十五五”时期如期实现碳达峰目标。提出两个方面共11条举措，包括大力发展非化石能源、大力发展绿色低碳产业、完善碳排放相关规划制度等举措。,https://www.zj.gov.cn/art/2025/2/27/art_1229017139_2546446.html,330000
2025/3/14,上海市,《上海市碳排放管理办法》,政策制度,碳排放管理,旨在健全上海市碳排放权交易机制，推动碳达峰碳中和目标实现。提出7大部分共48条举措，包括实施总量控制与动态配额分配；强化数据监管，要求排放报告核查与第三方监管；创新碳普惠机制，量化减排行为并支持配额清缴、积分兑换；规范交易方式与储备机制防风险等。,https://www.shanghai.gov.cn/gwk/search/content/d7f358a1242d4b7e91884fed6a967d3b,310000
2025/3/15,山西省,《山西省氢能产业链2025年行动方案》,政策制度,"能源领域,氢能",旨在促进山西省氢能产业高质量发展。明确了包括持续开展关键核心技术攻关，建立低成本、多元化氢能供应体系，有序推进加氢站建设，持续推进氢能在交通运输领域示范应用，开展氢能在工业领域示范应用，打造氢能产业集聚区，推进氢能产业重大项目等11项重点任务。,https://www.shanxi.gov.cn/ywdt/sxyw/202503/t20250315_9789101.shtml,140000
2025/3/26,北京市,《北京市可再生能源开发利用条例》,政策制度,能源领域,旨在推动北京市经济社会绿色低碳转型和可持续发展；共5章38条，提出了强化绿电开发利用，加强区域能源合作，推动重点行业建设综合能源项目等措施；适用于北京市太阳能、地热能、风能、水能、生物质能、空气能等可再生能源的开发利用及相关管理活动。,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/flfggz/fg/dfxfg/202503/t20250328_4048144.htm,110000
2025/3/26,山西省,《山西省碳普惠公众参与机制建设工作方案》,政策制度,碳普惠,旨在建设完善山西省碳普惠公众参与平台；明确了建设碳普惠管理体系、完善碳普惠数字化服务体系、建立广泛覆盖的碳普惠应用场景体系等四项建设内容，以及构建碳普惠管理制度体系、建立完善碳普惠减排方法学体系建立个人碳账户等10项具体措施。,http://sthjt.shanxi.gov.cn/tfwj2/jhf/202503/t20250326_9796695.shtml,140000
2025/4/2,云南省,《云南省气候变化健康适应行动实施方案（2024—2030年）》,政策制度,健康中国,旨在提升气候变化健康风险防范能力，促进健康云南建设；总体目标是分阶段到2030年，气候变化和极端天气气候事件健康影响监测预警能力持续增强，气候变化健康适应能力、公共卫生气候韧性进一步增强等。提出健全完善多部门气候变化与健康工作协作机制、推广运用气候变化与健康相关政策和标准等10项重点任务。,https://ynsjkj.yn.gov.cn/html/2025/qtwjzwgk_0402/607.html,530000
2025/4/2,上海市,《上海市大宗商品贸易转型提升三年行动方案（2025-2027年）》,政策制度,能源领域,旨在加快推动上海市大宗商品贸易转型提升；提出到2027年，绿色能源交易平台影响力持续提升等目标。主要任务包括健全新能源品种服务链体系：建设氢基绿色能源交易平台，优化绿氢、绿氨、绿色甲醇等绿色能源交易方式，支持国内外企业参与绿色能源交易，扩大交易规模等。,https://sww.sh.gov.cn/zwgkgfqtzcwj/20250404/9484a54156744e77b1bf122d6e85c0ad.html,310000
2025/4/3,福建省,《关于推动制造业绿色低碳发展的若干措施》,政策制度,"产业领域,制造业",旨在加快推动福建省制造业领域能耗强度下降；从九个方面明确促进制造业绿色低碳发展的措施，包括支持企业加快节能升级改造、大力推进通用设备更新提标、深化绿色低碳制造体系建设、优化金融服务推动绿色发展等。自印发之日起实施至2027年12月31日。,https://gxt.fujian.gov.cn/zwgk/zfxxgk/fdzdgknr/gfxwj/202503/t20250331_6789551.htm,350000
2025/4/7,上海市,《上海市促进检验检测认证行业高质量发展行动方案（2025—2027年）》,政策制度,碳足迹管理,旨在推动上海市检验检测认证行业创新发展；提出六方面共20项具体措施，包括推行涉碳类认证：率先在钢铁、电机等行业编制国际通行的碳足迹认证规则，完成20个与国际接轨的产品碳标识认证配套技术文件，形成30个产品碳标识认证试点应用示范等。,https://scjgj.sh.gov.cn/915/20250407/2c984ad69559a91401960ecd28ff6788.html,310000
2025/4/9,甘肃省,《甘肃省筑牢国家西部生态安全屏障行动方案》,政策制度,生态安全,为加快建设甘肃省国家西部生态安全屏障制定本方案。目标分阶段到2030年底，国家西部生态安全屏障更加牢固。可治理沙化土地治理率达到67%；城市空气质量优良天数比率达到94%；单位地区生产总值二氧化碳排放比2005年下降65%以上等。,https://www.gs.gov.cn/gsszf/c100055/202504/174116165.shtml,620000
2025/4/10,青海省,《青海省清洁能源产业发展促进条例》,政策制度,"能源领域,清洁能源",旨在促进青海省清洁能源产业高质量发展；包括开发利用、并网消纳、产业创新等共七章共四十三条，围绕建立健全清洁能源产业工作体制、加强清洁能源产业工作创新支撑、促进清洁能源产业工作融合发展等方面内容，明确了清洁能源产业高质量发展的路径和重点。自2025年5月1日起施行。,https://epaper.tibet3.com/qhrb/html/202504/10/content_212866.html,630000
2025/4/14,云南省,《云南省绿色矿山建设实施方案》,政策制度,"产业领域,矿业",旨在推进云南省矿业绿色转型升级和高质量发展；目标2028年底，全省绿色矿山建设工作机制更加完善，持证在产90%大型、80%中型矿山达到绿色矿山标准等；明确推进绿色矿山建设，提出促进节能减排、深化环境治理等措施。,http://dnr.yn.gov.cn/html/2025/tongzhigonggao_0414/4049357.html,530000
2025/4/14,四川省,《四川省新能源产业链建圈强链工作方案（2025—2027年）》,政策制度,"产业领域,新能源",旨在推动四川省新能源产业提质倍增发展。发展目标到2027年，主要承载地和协同发展地融合态势基本形成；全省新能源产业链营业收入超过5000亿元，力争达到6000亿元，光伏、风电装机规模达4500万千瓦等。提出实施绿色安全低碳行动。加强污染物排放控制和环境风险防控；探索构建碳足迹标识认证体系等。,https://jxt.sc.gov.cn//scjxt/qtwj/2025/4/18/c3630c3bc27a43d5a21682e28ec7a6c5.shtml,510000
2025/4/15,广西壮族自治区,《美丽广西建设三年行动计划》,政策制度,美丽中国,公布未来三年美丽广西建设“计划表”，目标到2027年，美丽海湾建成率达到50%左右；受污染耕地安全利用率达到94%以上，“无废城市”建设比例达到60%等目标。围绕加快发展方式绿色低碳转型、深入推进污染防治攻坚、筑牢南方生态安全屏障等七个方面，提出30项具体任务。,http://sthjt.gxzf.gov.cn/zfxxgk/zfxxgkgl/fdzdgknr/ghjg/zdgz/t19937482.shtml,450000
2025/4/18,内蒙古自治区,《发挥绿色金融作用 服务美丽内蒙古建设的实施方案》,政策制度,绿色金融,旨在推动内蒙古自治区绿色金融政策体系不断完善，绿色金融工作机制持续优化。共提出四方面共14项举措，具体包括开展金融支持节能降碳、开展金融支持污染防治行动、用好用足货币政策工具、拓展生态资源要素融资渠道等。,https://sthjt.nmg.gov.cn/wrfz2021/kjcy/lvjr/202504/t20250418_2705685.html,150000
2025/4/21,天津市,《天津市推进碳足迹管理体系建设实施方案》,政策制度,碳足迹管理,旨在推进天津市碳足迹管理体系建设工作；目标到2030年，全市碳足迹管理体系趋于完善，重点行业主要产品广泛开展碳足迹核算工作，开展天津市细分领域产品碳足迹因子数据研究等。提出强化产品碳足迹因子数据运用、推进产品碳足迹标识认证和分级管理工作等9项重点任务。,https://sthj.tj.gov.cn/ZWGK4828/ZCWJ6738/sthjjwj/202504/t20250421_6914426.html,120000
2025/4/27,上海市,《关于做好2025年上海市碳达峰碳中和计量重点工作的通知》,政策制度,碳计量,在依法加强上海市能源计量监管、加快健全碳计量体系、着力提升碳计量数据支撑三方面提出9条具体措施，包括推进碳计量重点实践工程实施；培育建设上海市碳计量中心持续提升能耗监测数据质量等。,https://www.shanghai.gov.cn/gwk/search/content/2c984a7296a881110196ad766f5e1834,310000
2025/4/29,山东省,《山东省关于加强煤炭清洁高效利用的实施方案》,政策制度,"产业领域,煤炭",旨在全面加强山东省煤炭全链条清洁高效利用，促进能源绿色低碳转型。目标到2030年，煤炭绿色智能开发能力明显增强，生产能耗强度逐步下降，储运结构持续优化，商品煤质量稳步提高，重点领域用煤效能和清洁化水平全面提升等。共六大方面18条措施。,http://fgw.shandong.gov.cn/art/2025/4/29/art_91680_10465466.html,370000
2025/5/9,内蒙古自治区,《内蒙古自治区生态环境损害赔偿工作规定》,政策制度,生态安全,旨在筑牢我国北方重要生态安全屏障，建设美丽内蒙古。态环境损害包括因污染环境、破坏生态造成大气、地表水、地下水、土壤、森林、草原、沙漠、湿地等环境要素和植物、动物、微生物等生物要素的不利改变，以及上述要素构成的生态系统功能退化。共八章50条，明确了赔偿范围、核查方法等。,"https://www.nmg.gov.cn/zwgk/zfxxgk/zfxxgkml/202505/t20250515_2723192.html#:~:text=%E7%BB%8F%E8%87%AA%E6%B2%BB%E5%8C%BA%E4%BA%BA%E6%B0%91%E6%94%BF%E5%BA%9C%E5%90%8C%E6%84%8F%EF%BC%8C%E7%8E%B0%E5%B0%86%E3%80%8A%E5%86%85%E8%92%99%E5%8F%A4%E8%87%AA%E6%B2%BB%E5%8C%BA%E7%94%9F%E6%80%81%E7%8E%AF%E5%A2%83%E6%8D%9F%E5%AE%B3%E8%B5%94%E5%81%BF%E5%B7%A5%E4%BD%9C%E8%A7%84%E5%AE%9A%E3%80%8B%E5%8D%B0%E5%8F%91%E7%BB%99%E4%BD%A0%E4%BB%AC%EF%BC%8C%E8%AF%B7%E7%BB%93%E5%90%88%E5%AE%9E%E9%99%85%EF%BC%8C%E8%AE%A4%E7%9C%9F%E8%B4%AF%E5%BD%BB%E8%90%BD%E5%AE%9E%E3%80%82%202025%E5%B9%B45%E6%9C%889%E6%97%A5,%EF%BC%88%E6%AD%A4%E4%BB%B6%E5%85%AC%E5%BC%80%E5%8F%91%E5%B8%83%EF%BC%89%20%E7%AC%AC%E4%B8%80%E6%9D%A1%20%E4%B8%BA%E6%B7%B1%E5%85%A5%E8%B4%AF%E5%BD%BB%E8%90%BD%E5%AE%9E%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%94%9F%E6%80%81%E6%96%87%E6%98%8E%E6%80%9D%E6%83%B3%EF%BC%8C%E7%AD%91%E7%89%A2%E6%88%91%E5%9B%BD%E5%8C%97%E6%96%B9%E9%87%8D%E8%A6%81%E7%94%9F%E6%80%81%E5%AE%89%E5%85%A8%E5%B1%8F%E9%9A%9C%EF%BC%8C%E5%BB%BA%E8%AE%BE%E7%BE%8E%E4%B8%BD%E5%86%85%E8%92%99%E5%8F%A4%EF%BC%8C%E5%9D%9A%E6%8C%81%E4%BB%A5%E9%93%B8%E7%89%A2%E4%B8%AD%E5%8D%8E%E6%B0%91%E6%97%8F%E5%85%B1%E5%90%8C%E4%BD%93%E6%84%8F%E8%AF%86%E4%B8%BA%E5%B7%A5%E4%BD%9C%E4%B8%BB%E7%BA%BF%EF%BC%8C%E6%8E%A8%E5%8A%A8%E8%87%AA%E6%B2%BB%E5%8C%BA%E7%94%9F%E6%80%81%E7%8E%AF%E5%A2%83%E6%8D%9F%E5%AE%B3%E8%B5%94%E5%81%BF%E5%B7%A5%E4%BD%9C%E8%A7%84%E8%8C%83%E5%8C%96%EF%BC%8C%E6%A0%B9%E6%8D%AE%E7%9B%B8%E5%85%B3%E6%B3%95%E5%BE%8B%E6%B3%95%E8%A7%84%E5%8F%8A%E6%94%BF%E7%AD%96%E6%96%87%E4%BB%B6%E7%B2%BE%E7%A5%9E%EF%BC%8C%E7%BB%93%E5%90%88%E8%87%AA%E6%B2%BB%E5%8C%BA%E5%AE%9E%E9%99%85%EF%BC%8C%E5%88%B6%E5%AE%9A%E6%9C%AC%E8%A7%84%E5%AE%9A%E3%80%82",150000
2025/5/21,重庆市,《推动经济社会发展全面绿色转型行动计划（2025—2027年）》,政策制度,绿色低碳转型,旨在全方位、全领域、全地域推进重庆市绿色转型。目标到2027年，全市单位GDP能耗较2020年下降16%，非化石能源占比达到25%；绿色工厂累计达到500个，近零碳园区试点累计达到24个；中心城区公交和巡游出租车纯电动化占比不低于55%；城市生活垃圾回收利用率达到45%等。,https://fzggw.cq.gov.cn/zwgk/zfxxgkml/zcwj/qtwj/202506/t20250612_14707238.html,500000
2025/5/26,甘肃省,《甘肃省建立碳足迹管理体系工作方案》,政策制度,碳足迹管理,甘肃省目标到2027年，制定出台3-5个重点产品碳足迹核算规则，省级产品碳足迹因子数据库初步构建等；到2030年，再制定出台5-10个新、特、优等产品的碳足迹核算规则，省级产品碳足迹因子数据库基本建成，产品碳标识认证和分级管理制度全面建立，产品碳标识认证制度广泛应用等。包括三方面10项任务，包括开展基础产品碳足迹评价试点等。,https://sthj.gansu.gov.cn/sthj/c113066/202505/174147579.shtml,620000
2025/5/29,内蒙古自治区,《深化蒙西电网新能源上网电价市场化改革实施方案》,政策制度,"新能源,电力市场",旨在加快构建内蒙古新型电力系统。提出蒙西电力市场建设要持续推动新能源（风电、太阳能发电，下同）上网电量全面进入电力市场，通过市场交易形成价格；统筹绿色能源消费等政策协调发力，完善电力市场体系等。,https://nyj.nmg.gov.cn/zwgk/zfxxgkzl/fdzdgknr/zcjd_16463/202506/t20250626_2746284.html,150000
2025/5/29,山东省,《山东省海草床碳汇碳普惠方法学》,标准及许可,碳普惠,海草床生态系统是国际认可的三大典型蓝碳生态系统之一，能够捕获和储存大量的碳并将其埋藏在海洋沉积物里，海草床碳汇项目开发利用对推动实现山东省碳达峰碳中和目标具有积极作用。明确了定义、适用范围、计算方法等。,http://xxgk.sdein.gov.cn/zfwj/lhz/202506/t20250609_4827059.html,370000
2025/5/30,湖南省,《湖南省林业局关于加强石漠化综合治理的实施意见》,政策制度,生态安全,旨在进一步加强湖南省石漠化综合治理。目标到2030年，全省新增石漠化土地综合治理面积16万公顷；到2035年，全省新增石漠化土地综合治理面积32万公顷，实现石漠化土地面积持续减少、石漠化程度持续减轻、水土流失状况基本控制、生态状况明显改善。包括加强石漠生态系统保护等措施。,https://lyj.hunan.gov.cn/lyj/xxgk_71167/zcfg/zcwj/202506/t20250612_33707314.html,430000
2025/6/4,内蒙古自治区,《内蒙古自治区高质量建设零碳园区工作方案》,政策制度,"节能降碳,零碳园区",高位推进内蒙古零碳产业园区建设升级。目标到2025年，遴选20个园区纳入自治区零碳园区培育建设名单，在此基础上争创一批国家级零碳园区试点；到2027年，建成一批国家级和自治区级零碳园区，发挥试点带动效应；到2030年，通过分类分批培育建设，更多自治区零碳园区建成为国家级零碳园区。明确3个方面10条重点工作。,https://www.nmg.gov.cn/zwyw/jrgz/202506/t20250604_2733406.html,150000
2025/6/5,北京市,《推进产品碳足迹标识认证试点工作方案》,政策制度,碳足迹管理,旨在建立健全北京市产品碳足迹标识认证工作机制。提出到2027年，完成不少于15款计算机产品的碳足迹认证。《方案》围绕组织、谋划、创新、监管、推进等五方面设置重点任务，具体包括进行产品碳足迹实景数据收集与碳足迹核算方法研究；推进建立低碳技术推广目录并加强数字化技术应用等。,https://scjgj.beijing.gov.cn/zwxx/2024zcwj/202506/t20250613_4113489.html,110000
2025/6/5,四川省,《四川省碳足迹管理体系建设实施方案》,政策制度,碳足迹管理,目标到2030年，四川省碳足迹管理体系更加完善，应用场景更加丰富。产品碳足迹标识认证和分级管理制度全面落地，产品碳足迹应用环境持续优化拓展。低碳供应链建设持续深化，优势出口产品碳足迹核算评价和认证更加普及。《实施方案》明确，从健全核算规则标准、推动基础设施建设等八个方面提出重点任务。,https://sthjt.sc.gov.cn/sthjt/c103878/2025/6/23/0d5eec2ade5b4d23a1a7ca94aaef5084.shtml,510000
2025/6/6,流域省,《关于深入推进大江大河干流横向生态保护补偿机制建设的实施方案》,政策制度,生态安全,旨在重点流域干流建立统一的横向生态保护补偿机制。先聚焦长江、黄河干流流经省，后续根据政策效果，适时将其他重点流域省纳入实施范围。主要措施包括：统一核算补偿资金、规范资金缴纳划拨程序、创新资金使用管理措施、落实保护治理任务、加强政策衔接。,http://zyhj.mof.gov.cn/zcfb/202506/t20250603_3965044.htm,
2025/6/6,河北省,《关于促进能源领域民营经济发展若干细化举措的通知》,政策制度,能源领域,"旨在促进河北省能源领域民营经济加快发展。提出极支持民营企业参与能源项目建设、推动民营企业公平参与市场、提升能源政务服务水平三大方面共16条措施。

",https://hbdrc.hebei.gov.cn/jhlm/jhzcfg/202506/t20250606_122536.html,130000
2025/6/12,宁夏回族自治区,《宁夏回族自治区建立碳足迹管理体系工作方案》,政策制度,碳足迹管理,旨在推动宁夏产品碳足迹标准制定、核算、标识认证和应用场景开发等。提出分阶段到到2030年，自治区产品碳足迹管理体系基本完善。全区重点产品碳足迹核算得到广泛推行，产品碳足迹因子数据库基本建成，产品碳足迹标识认证管理工作机制全面建立，产品碳足迹应用环境持续优化拓展。,https://sthjt.nx.gov.cn/zfxxgk/zfxxgkml/202506/t20250618_4937167.html,640000
2025/6/12,上海市,《上海市2025年陆上风电、光伏电站开发建设方案的通知》,政策制度,"新能源,风电,光伏",将纳入上海市2025年度可再生能源开发建设方案的陆上风电、光伏电站项目清单予以公布。提出积极推进项目开发建设、保障电源电网协调发展、强化技术模式应用创新等方面要求。,https://www.shanghai.gov.cn/gwk/search/content/5c450e51be8744c197633a9bcd61b5fa,310000
2025/6/13,湖南省,《湖南省美丽乡村建设工作方案》,政策制度,美丽中国,旨在全面加强湖南省农业农村生态环境保护，推进美丽乡村建设。目标到2027年，全省美丽乡村整县建成比例达到40%，农业绿色发展进展明显。到2030年，全省美丽乡村整县建成比例力争达到65%。到2035年，美丽乡村基本建成，农村绿色生产生活方式广泛形成，基本消除较大面积农村劣V类水体等。提出加强秸秆综合利用和露天焚烧管理等17条措施。,https://sthjt.hunan.gov.cn/sthjt/xxgk/zcfg/gfxwj/202506/t20250627_33723156.html,430000
2025/6/17,山东省,《山东省分布式光伏发电开发建设管理实施细则》,政策制度,"新能源,分布式光伏",山东省旨在将分布式光伏发电作为新能源和可再生能源重要组成部分，多措并举推动实现快速发展。《实施细则》分为总则、投资开发、备案管理等七章，共计四十一条，覆盖了分布式光伏发电的定义分类和项目全生命周期各阶段的管理要求，重点对项目类型和上网模式、分布式光伏备案管理等四个方面作了进一步细化和明确。,http://fgw.shandong.gov.cn/art/2025/6/18/art_91410_10469655.html,370000
2025/6/18,福建省,《福建省氢能产业创新发展中长期规划(2025—2035年)》,政策制度,"能源领域,氢能",福建省2025-2030年，建设各类型加氢站50座，打造10条运营示范线，燃料电池汽车产量达到6000辆/年。力争形成3万吨/年绿氢生产能力等。 2030-2035年，全省氢能产业进入快速发展阶段，形成10万吨/年绿氢生产能力、100万吨/年氢基绿色燃料生产能力，绿氢在福建省氢源中占比达到40%以上，形成涵盖交通、储能、工业等多元应用场景的产业体系。,https://fgw.fujian.gov.cn/zfxxgkzl/zfxxgkml/ghjh/202506/t20250618_6928549.htm,350000
